"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"Gm34268",9.87855356320051,-0.457945906759437,0.845876189663355,-0.54138644917017,0.588241245308968,0.814891860154643,0
"Tmem161a",8018.1594345826,-0.0531894625068302,0.0982621813152166,-0.541301463033911,0.588299812235763,0.814912865185661,0
"Pdia3",60621.5917079271,-0.0793629945602617,0.146632415959537,-0.541237720465317,0.588343741243393,0.81491359216855,0
"Dbpht2",50.2122220644606,0.293598717559405,0.542706390452421,0.540989976761928,0.588514491381055,0.815089965747957,0
"Traf7",12495.9725290974,0.054666375505591,0.101083374943805,0.540804811236085,0.588642126276687,0.815206603293117,0
"Ube2m",10379.6536961854,0.0590039104328404,0.10916344028419,0.540509810603558,0.588845497090422,0.815428102070561,0
"Rpl7a",22540.2081043579,0.0688239775288938,0.127519912256881,0.539711612961683,0.589395929999684,0.815648897010693,0
"Gsn",31150.553091958,-0.0682006339537523,0.126346354438171,-0.539791070799175,0.589341125657563,0.815648897010693,0
"Syndig1",560.652129788352,-0.0959345344014012,0.17765353311565,-0.540009155567704,0.589190718437889,0.815648897010693,0
"Clstn3",160.393238334568,-0.129606086728147,0.239972418768549,-0.540087429185561,0.589136739540686,0.815648897010693,0
"Gldn",1100.90804340104,-0.0704465508147433,0.13052508992325,-0.539716546881267,0.58939252686585,0.815648897010693,0
"Cplx3",14.9980013280536,-0.380345279843645,0.704237621455465,-0.540080887836659,0.589141250485373,0.815648897010693,0
"Gm38487",25.0003176314854,-0.310313893011825,0.574856556145334,-0.53981100101322,0.589327379587878,0.815648897010693,0
"Aldh6a1",17276.2812798403,-0.0558280425245439,0.103435539553589,-0.539737528952705,0.589378054741484,0.815648897010693,0
"Tmem217",31.5979435852905,-0.377937356567636,0.699699173869553,-0.540142636552686,0.589098668917883,0.815648897010693,0
"Gm28818",7.60567624424169,-0.703868219397075,1.30511868806933,-0.539313570352984,0.589670506738658,0.815657855524909,0
"LOC115489466",206.64747240299,-0.180490040502275,0.334865001531803,-0.538993444154042,0.589891378149742,0.815657855524909,0
"Zfp770",2518.9820349978,-0.0579280388938299,0.10744410819031,-0.539145792817462,0.589786260273413,0.815657855524909,0
"Gm10130",384.065384763159,-0.0987995069542922,0.183149503413862,-0.539447310053774,0.58957824418132,0.815657855524909,0
"Tmem54",14.4024380238394,-0.464000406827383,0.860818185896846,-0.539022542076016,0.589871300432588,0.815657855524909,0
"Gm38944",17.9897708616024,-0.31417673477044,0.582335444962991,-0.539511612229627,0.589533886625045,0.815657855524909,0
"Mtmr10",6809.37476333635,0.0524284510958631,0.09729086390584,0.538883601101583,0.589967173263823,0.815657855524909,0
"Rnh1",24249.3134468623,0.0590683748596702,0.109548703131099,0.539197390488339,0.589750660752577,0.815657855524909,0
"Gm53635",8.90431437004306,-0.453664867604907,0.840983035754663,-0.539445920211467,0.589579202952931,0.815657855524909,0
"Dnajc14",8059.88204184658,0.0553112487993016,0.102636507172089,0.538904239079004,0.589952932076791,0.815657855524909,0
"Ttll5",4908.4815118095,-0.0693492447016301,0.128641509423041,-0.53908917123767,0.589825327151432,0.815657855524909,0
"Dtx4",11300.5984234453,-0.0725177875884997,0.13450615859595,-0.539141020347921,0.589789553061784,0.815657855524909,0
"Pbdc1",3689.10468153153,0.0885502283276315,0.164187772006095,0.539322918178976,0.589664057769065,0.815657855524909,0
"Sytl1",574.912641073749,-0.185575819285189,0.344587827322091,-0.538544326209552,0.590201311793268,0.815921480665533,0
"Capza1",4704.73767984551,0.0645775454173804,0.119999521883035,0.538148355960328,0.590474630716808,0.815987487241756,0
"Efhd2",37557.2040037926,0.0786264084839837,0.146136347012707,0.538034582711628,0.590553173607467,0.815987487241756,0
"Cdkn1c",976.189649628529,0.139197321709984,0.25861652429211,0.538238312849491,0.590412532755403,0.815987487241756,0
"Gm32856",958.135902958764,0.0851313122395041,0.158138456581964,0.538334027532261,0.590346463444364,0.815987487241756,0
"Fam120aos",1190.99247289865,0.0638964001270529,0.118718822572067,0.538216255373196,0.59042775892982,0.815987487241756,0
"Gm25128",10.7232638155108,0.384508103228981,0.714653358156531,0.538034417442367,0.590553287703914,0.815987487241756,0
"Zdhhc9",3729.50294920973,0.0585759884734897,0.108854954032809,0.538110451599978,0.590500797300732,0.815987487241756,0
"A330094K24Rik",38.7276377934317,-0.219924279995949,0.408836424690605,-0.537927314481289,0.59062723018925,0.816029600912735,0
"Adamts12",169.200008483151,0.161040483005115,0.299408475798506,0.537862138256537,0.590672229088586,0.816031721938058,0
"Dcaf7",21302.1102945675,0.0558515603506834,0.103864957366359,0.537732472692211,0.590761757339625,0.816049632274923,0
"Lrp5",6915.79419845831,0.0704148317795545,0.130951358063077,0.537717461056316,0.590772122603502,0.816049632274923,0
"Oca2",38.2262861631197,-0.236016759614381,0.439003693582744,-0.537619074883469,0.590840058552734,0.816083432599689,0
"A330102I10Rik",100.295793553492,-0.170319959068928,0.316925929785888,-0.537412508922809,0.590982704663953,0.816220411951282,0
"Rpl11",11328.5484290732,-0.0679864511489931,0.126572502029676,-0.537134449100586,0.591174746554437,0.816317617486799,0
"Gsta4",37722.4761516249,0.126042991362754,0.23469123407069,0.53705879498162,0.591227002001891,0.816317617486799,0
"Prkdc",3386.9963653153,-0.121981872966671,0.227074024227985,-0.537189902638095,0.59113644530363,0.816317617486799,0
"Cdc25c",20.1986314124603,0.354138050498576,0.65937239778269,0.537083523194869,0.591209921616346,0.816317617486799,0
"Nat8f2",20.3018020483577,-0.447932847243775,0.834318803265144,-0.536884516435168,0.591347386916111,0.816322720746463,0
"Efl1",3519.88887764874,0.0550005297370503,0.102430855952156,0.536952749499038,0.591300252799035,0.816322720746463,0
"0610009L18Rik",116.20152800613,0.152774278818905,0.284567607877667,0.536864613503659,0.591361135812125,0.816322720746463,0
"Mrpl50",3485.96334983378,0.0633555089728653,0.118045761721217,0.536702953575656,0.591472815534195,0.816349156911863,0
"Gm12059",74.6623031463651,-0.171999786952404,0.320441732201749,-0.536758385902476,0.591434520061549,0.816349156911863,0
"Neil2",572.103348104484,-0.0742587395065922,0.138375115432578,-0.536648076313793,0.591510728661997,0.816349156911863,0
"Smarca5-ps",124.339384021743,-0.154173187632599,0.287327815735942,-0.536575921957678,0.591560579738329,0.816357948150469,0
"Ifi213",78.1429406765906,0.187194713012673,0.349450495795385,0.535683066027989,0.592177608995647,0.816594574395915,0
"Il36g",13.5352513112769,0.596275183695397,1.11315955840008,0.535660120955533,0.592193469623854,0.816594574395915,0
"Pex16",2634.98824282894,0.0647184071514784,0.120774808233549,0.535860152444446,0.592055205750815,0.816594574395915,0
"Gm40131",10.6277488735378,0.54874182802477,1.02458906798686,0.535572597024634,0.59225397174696,0.816594574395915,0
"Sdcbp",53785.5008703289,-0.0704828428901036,0.131497031574491,-0.536003300197514,0.591956269612528,0.816594574395915,0
"Zfp974",1539.35943743456,0.0691647935048218,0.129127769892407,0.535630666915814,0.592213829817976,0.816594574395915,0
"Lipt2",262.468201366071,0.103152136749162,0.192538364982411,0.535748481912086,0.592132391772512,0.816594574395915,0
"Dennd2b",17359.2040619857,0.0633482338024634,0.118200610883509,0.535938294472061,0.59200119718306,0.816594574395915,0
"Gm39114",19.8181252760823,0.44651258690176,0.833106927484294,0.535960717851764,0.591985699479399,0.816594574395915,0
"Gm31557",8.84261434433906,-0.560593865333156,1.04621417440599,-0.535830883434018,0.59207543587378,0.816594574395915,0
"Hnrnpc",23353.7890302555,0.0749691679628019,0.139839506929375,0.53610864060515,0.591883468755384,0.816594574395915,0
"Rpl7l1",7419.08301644607,-0.0663829291778576,0.123934067658628,-0.535631004710562,0.592213596314513,0.816594574395915,0
"E2f8",13.5241384162535,0.364719475717502,0.681253018454169,0.535365665674534,0.592397027172592,0.816731839122149,0
"Gm38837",154.889219776637,-0.139249897325006,0.260160482453786,-0.535246152727063,0.592479655878662,0.81674808773266,0
"Gm39068",19.4643788983017,-0.313622619361773,0.58596650141515,-0.535222779125346,0.592495816506995,0.81674808773266,0
"Kctd18",3112.59642402055,0.0594248183979154,0.111044257075545,0.535145355220738,0.592549349236446,0.816761914096929,0
"Hepacam2",26.0445029475342,-0.338015396034999,0.631957311272064,-0.534870615476557,0.592739328730002,0.816786751380315,0
"U2af1l4",3277.49019907077,-0.0606789298013147,0.113419270756107,-0.534996649130257,0.592652174386026,0.816786751380315,0
"Septin5",4247.13675140114,-0.0541045678060722,0.101155058622025,-0.534867643231159,0.592741384157486,0.816786751380315,0
