ROI,Area,Mean,Min,Max,MinThr,MaxThr
0003-0024-0427,208.224,19271.6,6000,52816,0,65535
0003-0025-0443,234.544,12264.992,2992,20768,0,65535
0003-0026-0443,312.442,33922.141,3296,61216,0,65535
0003-0027-0448,209.71,23747.741,6224,58480,0,65535
0003-0028-0467,535.949,21650.915,3072,41312,0,65535
0003-0029-0478,143.91,10369.204,1664,19872,0,65535
0003-0030-0496,370.176,9356.578,4576,16480,0,65535
0003-0031-0495,281.665,13794.701,3600,27312,0,65535
0003-0032-0496,274.024,17456.83,6960,31584,0,65535
0003-0033-0508,237.728,10231.157,5280,16752,0,65535
0003-0034-0509,261.076,15659.005,6400,24176,0,65535
0003-0035-0508,193.366,13469.067,3344,22832,0,65535
0003-0036-0536,261.501,13435.766,4832,22496,0,65535
0003-0037-0546,325.178,14638.705,6448,24624,0,65535
0003-0038-0567,249.827,9048.972,3776,15968,0,65535
0003-0039-0600,392.039,12303.679,5136,20416,0,65535
0003-0040-0607,576.49,10562.351,4016,16208,0,65535
0003-0041-0603,310.32,10471.759,3920,22800,0,65535
0003-0042-0612,625.734,15307.734,7744,40640,0,65535
0003-0043-0620,313.716,11060.438,4112,16304,0,65535
0003-0044-0620,246.643,11479.491,5120,18112,0,65535
0003-0045-0635,274.448,8547.576,4768,13808,0,65535
0003-0046-0644,243.883,11916.366,3680,17984,0,65535
0003-0047-0685,319.871,13563.934,4288,26032,0,65535
0003-0048-0698,358.502,8284.296,4000,13648,0,65535
0003-0049-0697,246.218,10564.593,3808,16832,0,65535
0003-0050-0706,368.478,12509.641,4752,22640,0,65535
0003-0051-0715,320.296,18166.139,2416,32816,0,65535
0003-0052-0732,286.123,8600.499,4304,12688,0,65535
0003-0053-0735,275.297,7485.742,3104,10496,0,65535
0003-0054-0737,173.414,46134.267,17184,65520,0,65535
0003-0055-0756,261.713,10664.487,4000,19568,0,65535
0003-0056-0764,112.496,24448.725,3104,44208,0,65535
0003-0057-0773,236.242,37538.789,3216,65520,0,65535
0003-0058-0814,655.238,12206.937,6432,16928,0,65535
0003-0059-0800,285.486,15337.767,2624,25664,0,65535
0003-0060-0821,333.456,11292.996,3456,18112,0,65535
0003-0061-0857,276.783,12711.117,5680,18304,0,65535
0003-0062-0863,414.538,4453.563,2144,12368,0,65535
0003-0063-0873,258.529,16609.944,7552,32128,0,65535
0003-0064-0892,358.714,11801.496,4032,18224,0,65535
0003-0065-0905,274.024,8000.558,3136,11680,0,65535
0003-0066-0906,266.383,7696.625,4016,12400,0,65535
0003-0067-0918,229.874,10515.797,3184,18112,0,65535
0003-0068-0929,531.916,9564.846,3248,16352,0,65535
0003-0069-0951,239.638,20525.676,6064,36368,0,65535
0003-0070-0960,204.828,9534.176,1840,18944,0,65535
0003-0071-0984,435.764,8852.466,4528,13920,0,65535
0003-0072-0988,213.743,14716.091,4160,32480,0,65535
0003-0073-1001,437.674,11646.518,4800,19168,0,65535
0003-0074-0990,193.791,10828.022,2864,30560,0,65535
0004-0001-0014,235.605,9962.969,4432,14480,0,65535
0004-0002-0013,179.145,17647.526,4672,25152,0,65535
0004-0003-0023,258.741,14465.076,5072,21120,0,65535
0004-0004-0064,241.549,12324.865,3872,19936,0,65535
0004-0005-0074,376.756,14671.117,7296,19616,0,65535
0004-0006-0078,318.386,10496.725,4512,16240,0,65535
0004-0007-0087,250.463,13727.241,5232,20592,0,65535
0004-0008-0101,415.175,9710.299,5168,12544,0,65535
0004-0009-0123,354.894,12375.464,6784,16224,0,65535
0004-0010-0133,345.13,11691.857,5952,16688,0,65535
0004-0011-0156,195.064,11225.558,4000,18032,0,65535
0004-0012-0180,414.538,10679.668,4832,17136,0,65535
0004-0013-0179,282.939,22167.826,3168,43456,0,65535
0004-0014-0241,458.9,15959.423,9632,20496,0,65535
0004-0015-0246,403.288,10551.453,4032,19376,0,65535
0004-0016-0255,507.507,14890.941,8272,23168,0,65535
0004-0017-0257,408.595,14739.616,5136,23968,0,65535
0004-0018-0276,209.498,13187.242,1536,21648,0,65535
0004-0019-0282,287.396,12450.706,5056,18880,0,65535
0004-0020-0292,236.454,17157.673,6848,29456,0,65535
0004-0021-0293,193.154,14288.457,7568,21440,0,65535
0004-0022-0316,255.345,15494.983,3488,23568,0,65535
0004-0023-0321,158.556,19517.194,10416,41488,0,65535
0004-0024-0358,218.413,8624.327,3808,15472,0,65535
0004-0025-0361,185.725,20776.539,8976,39408,0,65535
0004-0026-0374,311.593,11217.809,2784,21248,0,65535
0004-0027-0392,214.804,23918.735,2512,46624,0,65535
0004-0028-0402,185.088,7291.853,1264,20112,0,65535
0004-0029-0420,267.656,15016.159,7728,28608,0,65535
0004-0030-0431,457.626,13962.323,4928,25024,0,65535
0004-0031-0455,358.29,10323.403,4704,18096,0,65535
0004-0032-0459,227.964,9474.339,3040,16672,0,65535
0004-0033-0475,104.43,22541.301,8448,39712,0,65535
0004-0034-0483,143.91,20540.012,9568,32896,0,65535
0004-0035-0510,343.22,9790.417,2928,16224,0,65535
0004-0036-0527,448.711,19077.919,7728,30704,0,65535
0004-0037-0538,410.93,36650.281,3312,65520,0,65535
0004-0038-0525,246.643,15132.365,3056,27520,0,65535
0004-0039-0537,277.844,11502.827,5616,16640,0,65535
0004-0040-0584,245.794,8245.347,1216,23712,0,65535
0004-0041-0584,284.424,10744.49,4944,18432,0,65535
0004-0042-0595,313.079,18741.847,5840,30608,0,65535
0004-0043-0594,226.266,10409.846,4112,18080,0,65535
0004-0044-0610,320.084,8311.512,3280,13296,0,65535
0004-0045-0612,392.251,12563.602,5168,19648,0,65535
0004-0046-0628,302.042,34281.074,4208,53520,0,65535
0004-0047-0640,460.386,10997.835,4336,18816,0,65535
0004-0048-0681,269.779,17280.919,4176,26384,0,65535
0004-0049-0675,122.897,15328.415,2592,26352,0,65535
0004-0050-0702,143.061,21851.395,8784,39888,0,65535
0004-0051-0709,224.992,13524.815,4288,26848,0,65535
0004-0052-0711,174.051,20750.985,2352,37680,0,65535
0004-0053-0727,337.913,23866.111,10112,41104,0,65535
0004-0054-0730,169.806,16031.86,2288,38784,0,65535
0004-0055-0745,244.52,8954.097,3664,13456,0,65535
0004-0056-0781,174.9,15381.689,2800,28528,0,65535
0004-0057-0797,192.942,24954.156,2128,51280,0,65535
0004-0058-0811,378.242,15760.844,3952,25088,0,65535
0004-0059-0812,131.175,6247.508,752,12912,0,65535
0004-0060-0852,366.78,16001.139,2544,29360,0,65535
0004-0061-0893,219.049,16791.426,3552,27088,0,65535
0004-0062-0924,295.462,7819.931,1680,14624,0,65535
0004-0063-0920,258.954,29709.089,12400,45696,0,65535
0004-0064-0924,326.451,10589.316,2224,16624,0,65535
0004-0065-0936,540.194,17616.83,8320,31184,0,65535
0004-0066-1011,487.13,10605.623,4656,14832,0,65535
0004-0067-1030,111.859,14592.121,8464,22624,0,65535
0005-0001-0012,161.952,11600.986,8176,16016,0,65535
0005-0002-0029,270.203,10570.859,6720,16704,0,65535
0005-0003-0031,196.338,21085.146,2800,47888,0,65535
0005-0004-0049,280.179,13007.782,2352,20512,0,65535
0005-0005-0064,173.839,18828.62,2304,30288,0,65535
0005-0006-0116,484.371,11871.004,4528,19024,0,65535
0005-0007-0108,267.019,9156.769,5664,15392,0,65535
0005-0008-0106,199.522,11155.915,2032,20992,0,65535
0005-0009-0132,186.149,11655.59,1792,21808,0,65535
0005-0010-0139,271.477,10586.733,1648,21648,0,65535
0005-0011-0178,375.27,12981.656,5184,19360,0,65535
0005-0012-0184,308.41,13521.982,6752,20672,0,65535
0005-0013-0186,378.879,7109.638,1232,13264,0,65535
0005-0014-0216,591.56,24555.057,11600,43760,0,65535
0005-0015-0216,279.543,15013.649,5216,22272,0,65535
0005-0016-0224,316.688,24810.971,7264,38688,0,65535
0005-0017-0227,272.538,11591.988,5600,16432,0,65535
0005-0018-0242,289.306,15117.241,8544,21952,0,65535
0005-0019-0239,116.317,22120.876,7840,45488,0,65535
0005-0020-0242,130.538,29736.793,2928,55504,0,65535
0005-0021-0251,293.339,17855.294,6832,31648,0,65535
0005-0022-0260,500.927,19443.993,5472,46592,0,65535
0005-0023-0268,394.586,9323.507,3104,13104,0,65535
0005-0024-0271,355.318,16829.247,5872,24336,0,65535
0005-0025-0264,149.853,21623.932,2864,36128,0,65535
0005-0026-0271,302.891,20691.442,3456,46112,0,65535
0005-0027-0284,224.992,22851.306,11072,37840,0,65535
0005-0028-0297,426.637,12192.414,6192,28064,0,65535
0005-0029-0320,245.794,11029.72,2816,19936,0,65535
0005-0030-0315,120.774,8645.146,4880,21488,0,65535
0005-0031-0330,345.979,10323.848,3152,15168,0,65535
0005-0032-0354,108.888,11301.146,4448,20576,0,65535
0005-0033-0385,255.557,8450.047,3744,11824,0,65535
0005-0034-0413,129.265,16356.624,1680,31328,0,65535
0005-0035-0419,235.818,21094.351,3152,36208,0,65535
0005-0036-0431,217.351,9313.25,5056,15040,0,65535
0005-0037-0446,340.885,13754.192,3664,24480,0,65535
0005-0038-0469,333.668,10504.621,5632,16960,0,65535
0005-0039-0481,241.336,21853.017,2720,47424,0,65535
0005-0040-0513,214.592,17618.975,2720,29248,0,65535
0005-0041-0526,223.294,14217.703,4832,23600,0,65535
0005-0042-0543,224.568,8577.512,3568,15760,0,65535
0005-0043-0550,241.761,10658.234,6192,16176,0,65535
0005-0044-0565,178.72,10855.164,6384,14912,0,65535
0005-0045-0589,130.75,11054.39,8112,13472,0,65535
0005-0046-0590,110.586,11689.397,7008,17312,0,65535
0005-0047-0605,334.093,12522.846,4400,21952,0,65535
0005-0048-0593,192.517,16023.991,4080,23936,0,65535
0005-0049-0602,253.859,13012.361,6080,21056,0,65535
0005-0050-0637,445.952,10352.495,4624,16336,0,65535
0005-0051-0657,416.024,11385.78,1248,26736,0,65535
0005-0052-0655,182.966,2278.311,1040,3312,0,65535
0005-0053-0654,136.481,26818.289,2176,52848,0,65535
0005-0054-0683,249.402,11238.182,3424,16128,0,65535
0005-0055-0693,410.081,15530.012,7456,23824,0,65535
0005-0056-0685,226.903,10815.985,4816,15696,0,65535
0005-0057-0696,308.197,14990.226,6560,25392,0,65535
0005-0058-0714,327.088,15854.546,6752,23360,0,65535
0005-0059-0734,474.607,17158.047,8304,28512,0,65535
0005-0060-0738,301.617,14124.048,7744,19616,0,65535
0005-0061-0744,358.29,13447.848,6880,22112,0,65535
0005-0062-0756,357.865,9964.46,4976,15312,0,65535
0005-0063-0746,140.302,13638.995,4512,19216,0,65535
0005-0064-0777,306.711,21752.426,7536,33824,0,65535
0005-0065-0780,361.474,12257.813,5408,19600,0,65535
0005-0066-0782,264.685,12735.949,2816,20144,0,65535
0005-0067-0787,275.51,10924.376,3424,16048,0,65535
0005-0068-0801,459.112,12061.374,5744,16704,0,65535
0005-0069-0805,127.142,21046.758,5472,35616,0,65535
0005-0070-0811,240.487,13514.196,2320,20880,0,65535
0005-0071-0822,447.226,10528.273,5888,16128,0,65535
0005-0072-0822,289.306,10472.828,3888,17264,0,65535
0005-0073-0826,206.102,15511.794,4224,22768,0,65535
0005-0074-0848,319.659,9577.859,3184,15392,0,65535
0005-0075-0867,491.8,12653.59,6288,18752,0,65535
0005-0076-0861,284.637,8827.74,2464,13680,0,65535
