Gene_ID,C1,C2,C3,UC1,UC2,UC3
ENSG00000204501,0,0,0,0,0,0
ENSG00000228229,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0
ENSG00000204479,0,0,0,0,0,0
ENSG00000204478,0,0,0,0,0,0
ENSG00000162494,1,0,0,0,0,0
ENSG00000259961,0,0,0,0,0,0
ENSG00000215909,0,0,0,0,0,0
ENSG00000162493,156,88,131,78,195,166
ENSG00000222952,0,0,0,0,0,0
ENSG00000237445,0,0,0,0,0,0
ENSG00000253085,0,0,0,0,0,0
ENSG00000116731,2470,1836,1985,1691,2170,2129
ENSG00000289380,9,9,18,5,4,5
ENSG00000189337,2913,2070,2083,2130,2291,2183
ENSG00000252151,0,0,0,0,0,0
ENSG00000231606,64,55,52,57,41,49
ENSG00000234593,6,4,5,5,2,5
ENSG00000235829,0,0,0,0,0,0
ENSG00000287756,0,0,0,0,0,0
ENSG00000175147,5,6,1,5,3,5
ENSG00000171729,321,267,270,258,295,281
ENSG00000204464,1,0,0,0,0,0
ENSG00000215720,0,0,0,0,0,0
ENSG00000278480,0,1,2,0,2,0
ENSG00000142621,17,16,16,17,4,11
ENSG00000233485,1,1,0,1,0,1
ENSG00000236045,0,0,0,0,0,0
ENSG00000228140,14,8,2,9,4,11
ENSG00000142634,3273,2772,2526,2889,2503,2326
ENSG00000162438,6,7,11,3,4,4
ENSG00000142615,0,0,0,1,0,0
ENSG00000215704,1,0,0,0,0,0
ENSG00000132906,409,332,364,355,372,330
ENSG00000116138,1840,1305,1423,1294,1570,1577
ENSG00000251866,0,0,0,0,0,0
ENSG00000272510,1,0,1,0,3,0
ENSG00000116771,191,173,159,141,176,181
ENSG00000237301,5,8,6,7,2,3
ENSG00000235084,14,11,18,19,19,17
ENSG00000252417,0,0,0,0,0,0
ENSG00000236500,0,0,0,0,0,0
ENSG00000197312,2002,1341,1495,1322,1518,1422
ENSG00000215695,1,1,1,1,0,2
ENSG00000271742,0,0,0,0,0,0
ENSG00000116786,6566,4933,5401,5122,6356,5808
ENSG00000237938,1,0,0,0,0,0
ENSG00000162461,80,66,87,47,81,80
ENSG00000224459,6,3,3,5,6,7
ENSG00000162460,0,0,0,0,0,0
ENSG00000162458,9068,6084,8686,6545,12017,11070
ENSG00000224321,7,2,7,3,10,16
ENSG00000233954,499,446,426,503,493,456
ENSG00000178715,8,11,4,12,7,14
ENSG00000179743,202,159,152,195,167,191
ENSG00000065526,7452,5378,5572,4931,5922,5670
ENSG00000270620,0,0,0,0,0,0
ENSG00000116809,2070,1540,1687,1511,1743,1814
ENSG00000234607,2,0,0,0,0,0
ENSG00000231353,0,0,0,0,0,0
ENSG00000275503,0,0,0,0,0,0
ENSG00000224966,0,0,0,0,0,0
ENSG00000183888,1,0,0,0,0,1
ENSG00000233078,0,0,0,0,0,0
ENSG00000173641,70,52,91,64,161,185
ENSG00000186510,11,12,4,6,12,8
ENSG00000232456,1,1,4,1,7,4
ENSG00000184908,75,46,82,54,85,84
ENSG00000185519,24,19,27,16,17,18
ENSG00000142627,13208,9611,10457,10899,12948,11717
ENSG00000227959,51,39,36,36,40,27
ENSG00000224621,17,16,17,17,15,18
ENSG00000234166,0,0,0,0,0,0
ENSG00000142632,197,141,155,148,193,171
ENSG00000291077,0,0,0,0,0,0
ENSG00000237276,0,0,0,0,0,0
ENSG00000288398,0,0,0,0,0,0
ENSG00000132881,104,63,77,91,80,79
ENSG00000233929,0,0,0,0,0,0
ENSG00000037637,563,471,512,481,616,602
