ROI,Area,Mean,Min,Max,MinThr,MaxThr
0007-0009-0351,163.226,67.84,0,4003,0,65535
0007-0010-0360,191.881,3.14,0,1110,0,65535
0007-0011-0365,137.33,928.941,0,9512,0,65535
0007-0012-0382,295.462,1121.219,0,8101,0,65535
0007-0013-0380,146.033,56.974,0,2832,0,65535
0007-0014-0412,201.644,1020.538,0,11475,0,65535
0007-0015-0441,191.881,12160.313,0,32963,0,65535
0007-0016-0448,224.568,3770.73,0,12543,0,65535
0007-0017-0486,416.661,54.506,0,11062,0,65535
0007-0018-0503,283.151,810.09,0,7584,0,65535
0007-0019-0514,150.915,2741.475,0,17329,0,65535
0007-0020-0541,455.504,13035.953,0,28418,0,65535
0007-0021-0561,157.707,951.397,0,7102,0,65535
0007-0022-0601,166.834,351.833,0,3383,0,65535
0007-0023-0615,264.685,2868.363,0,13128,0,65535
0007-0024-0787,193.154,2915.409,0,13438,0,65535
0007-0025-0825,268.081,2100.442,0,11647,0,65535
0007-0026-0833,300.981,130.221,0,6000,0,65535
0007-0027-0866,240.275,39.028,0,3245,0,65535
0007-0028-0880,398.407,480.93,0,7067,0,65535
0007-0029-0894,169.806,104.81,0,3865,0,65535
0007-0030-0909,181.904,3749.756,0,17433,0,65535
0007-0031-0937,234.332,660.265,0,7067,0,65535
0007-0032-0960,257.892,13.042,0,2763,0,65535
0007-0033-1000,215.017,5121.036,0,20153,0,65535
0007-0034-1008,225.629,0.914,0,972,0,65535
0007-0035-1026,126.93,0,0,0,0,65535
0008-0001-0028,155.16,0,0,0,0,65535
0008-0002-0030,285.486,0,0,0,0,65535
0008-0003-0062,222.658,0,0,0,0,65535
0008-0004-0138,451.259,7.516,0,1179,0,65535
0008-0005-0167,271.265,0,0,0,0,65535
0008-0006-0189,243.034,0,0,0,0,65535
0008-0007-0228,363.172,3.791,0,2178,0,65535
0008-0008-0265,199.31,0,0,0,0,65535
0008-0009-0442,331.546,3.855,0,1661,0,65535
0008-0010-0590,380.153,0,0,0,0,65535
